emart_id,emart_title,skbd_slug,skbd_name,skbd_regular,skbd_sale,emart_regular,emart_sale,price_action,image_url,image_action,error
63609,Some By Mi Miracle Hair &#038; Body Starter Kit,some-by-mi-miracle-hair-body-starter-kit,Some By Mi Miracle Hair &amp;amp; Body Starter Kit,1900.0,1500.0,1900.0,1700.0,update_sale ৳1700.0→৳1500.0,https://skincarebd.com/wp-content/uploads/2022/09/687fd070f6fd6e42241638c8b719f3f5.jpg,check_whitebg,
63889,The Inkey List Lactic Acid &#8211; 30 ml,the-inkey-list-lactic-acid-30-ml,The Inkey List Lactic Acid - 30 ml,2500.0,1600.0,2300.0,,set_sale ৳1600.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2022/01/271010896_5413957248619311_19762807531404804_n-removebg-preview.png,check_whitebg,
63737,The Ordinary 100% Organic Cold-Pressed Moroccan Argan Oil 30ml,the-ordinary-100-organic-cold-pressed-moroccan-argan-oil-30ml,The Ordinary 100% Organic Cold-Pressed Moroccan Argan Oil 30ml,4000.0,1200.0,1200.0,,skip_suspicious (৳1200.0 is 30% of reg ৳4000.0),https://skincarebd.com/wp-content/uploads/2022/06/The-Ordinary-100-Organic-Cold-Pressed-Moroccan-Argan-Oil-30ml.jpg,check_whitebg,
63709,Neutrogena T/Gel Therapeutic Shampoo Original Formula 130ml,neutrogena-t-gel-therapeutic-shampoo-original-formula-130ml,Neutrogena T/Gel Therapeutic Shampoo Original Formula 130ml,2150.0,900.0,1400.0,,set_sale ৳900.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2022/06/1884657269.jpg,check_whitebg,
3962,NEOGEN Dermalogy Real Vita C Serum 32G,neogen-dermalogy-real-vita-c-serum-32g,NEOGEN DERMALOGY REAL VITA C SERUM 32g,2900.0,990.0,2000,,skip_suspicious (৳990.0 is 34% of reg ৳2900.0),https://skincarebd.com/wp-content/uploads/2020/09/C_32g_98eb39f7-59ff-4f59-a52d-703f9bcf411b_250x.webp,check_whitebg,
63711,Neutrogena Body Clear Body Wash 250ml,neutrogena-body-clear-body-wash-250ml,Neutrogena Body Clear Body Wash 250ml,2150.0,1400.0,1650.0,,set_sale ৳1400.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2022/06/133083561.jpg,check_whitebg,
63915,Paula&#8217;s Choice Weightless Advanced Repairing Toner &#8211; 118 ml,paulas-choice-weightless-advanced-repairing-toner-118-ml,Paula's Choice Weightless Advanced Repairing Toner - 118 ml,5900.0,3400.0,3400.0,,skip,https://skincarebd.com/wp-content/uploads/2022/01/resist-weightless-advanced-repairing-toner-7780-L.webp,check_whitebg,
3274,BY WISHTREND Acid-duo 2% Mild Gel Cleanser 150ml,by-wishtrend-acid-duo-2-mild-gel-cleanser-150ml,BY WISHTREND Acid-duo 2% Mild Gel Cleanser 150ml,1700.0,1000.0,1700,,set_sale ৳1000.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2020/08/Screen-Shot-2020-03-04-at-1.33.25-PM.png,check_whitebg,
4013,I\'M FROM Fig Scrub Mask 120g,im-from-fig-scrub-mask-120g,I'M FROM Fig Scrub Mask - 120g,2700.0,700.0,2700,,skip_suspicious (৳700.0 is 26% of reg ৳2700.0),https://skincarebd.com/wp-content/uploads/2020/10/IMFROM-Fig-scrub-mask-thumbnail-product.jpg,check_whitebg,
63769,Isntree Onion Newpair Cleansing Foam 150ml,isntree-onion-newpair-cleansing-foam-150ml,Isntree Onion Newpair Cleansing Foam 150ml,1900.0,980.0,1500.0,,set_sale ৳980.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2022/05/XXL_p0162183526.webp,check_whitebg,
63887,The Inkey List Peptide Moisturizer &#8211; 50 ml,the-inkey-list-peptide-moisturizer-50-ml,The Inkey List Peptide Moisturizer - 50 ml,2200.0,1500.0,2100.0,,set_sale ৳1500.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2022/01/the-inkey-list-the-inkey-list-peptide-moisturizer.jpg,check_whitebg,
63697,Neutrogena Sheer Zinc Mineral Face Sunscreen Lotion with Broad Spectrum SPF 50 &#8211; 88ml,neutrogena-sheer-zinc-mineral-face-sunscreen-lotion-with-broad-spectrum-spf-50-88ml,Neutrogena Sheer Zinc Mineral Face Sunscreen Lotion with Broad Spectrum SPF 50 - 88ml,2200.0,1000.0,1400.0,,set_sale ৳1000.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2022/06/9482774493.jpg,check_whitebg,
3869,Klairs Fundamental Watery Oil Drop 50ml,klairs-fundamental-watery-oil-drop-50ml,Klairs Fundamental Watery Oil Drop - 50ml,2500.0,190.0,2500,,skip_placeholder (৳190.0 below ৳400 minimum),https://skincarebd.com/wp-content/uploads/2020/08/thumbnail-23.jpg,check_whitebg,
3915,I\'m From Ginseng Eye Cream 30g,im-from-ginseng-eye-cream-30g,I'M FROM Ginseng Eye Cream 30g,2500.0,1750.0,2500,,set_sale ৳1750.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2020/08/www.wishtrend.com77thumbnailprodcut-1-1.jpg,check_whitebg,
63593,Lubriderm Daily Moisture Lotion for Normal to Dry Skin (Fragrance Free) 177ml,lubriderm-daily-moisture-lotion-for-normal-to-dry-skin-fragrance-free-177ml,Lubriderm Daily Moisture Lotion for Normal to Dry Skin (Fragrance Free) 177ml,2600.0,950.0,950.0,,skip_suspicious (৳950.0 is 37% of reg ৳2600.0),https://skincarebd.com/wp-content/uploads/2022/10/lubriderm-daily-moisture-lotion-for-normal-to-dry-skin-177ml_regular_619cc8fab7ade.jpg,check_whitebg,
63691,Neutrogena T/Gel Extra Strength Therapeutic Shampoo 177ml,neutrogena-t-gel-extra-strength-therapeutic-shampoo-177ml,Neutrogena T/Gel Extra Strength Therapeutic Shampoo 177ml,1750.0,1400.0,1750.0,,set_sale ৳1400.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2022/06/1433342157.jpg,check_whitebg,
63821,Cerave Healing Ointment &#8211; 340 g,cerave-healing-ointment-340-g,Cerave Healing Ointment - 340 g,3700.0,1700.0,3100.0,,set_sale ৳1700.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2022/01/cerave-healing-ointment-protects-and-soothes-dry-skin-340g1_1.jpg,check_whitebg,
63693,Neutrogena Sport Face Sunscreen SPF 70+ OilFree Facial Sunscreen Lotion 73ml,neutrogena-sport-face-sunscreen-spf-70-oilfree-facial-sunscreen-lotion-73ml,Neutrogena Sport Face Sunscreen SPF 70+ OilFree Facial Sunscreen Lotion 73ml,1900.0,1300.0,1450.0,,set_sale ৳1300.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2022/06/9158462316.jpg,check_whitebg,
63747,I&#8217;m from mugwort essence 160ml+Heimish green foam cleanser 30ml,im-from-mugwort-essence-160mlheimish-green-foam-cleanser-30ml,I'm from mugwort essence 160ml+Heimish green foam cleanser 30ml,4600.0,2700.0,3050.0,2700.0,skip,https://skincarebd.com/wp-content/uploads/2022/06/gettyimages-1277536658-170667a-scaled.jpg,check_whitebg,
63699,Neutrogena Oil-Free Acne Wash Pink Grapefruit Facial Cleanser 269ml,neutrogena-oil-free-acne-wash-pink-grapefruit-facial-cleanser-269ml,Neutrogena Oil-Free Acne Wash Pink Grapefruit Facial Cleanser 269ml,3000.0,1000.0,1600.0,,skip_suspicious (৳1000.0 is 33% of reg ৳3000.0),https://skincarebd.com/wp-content/uploads/2022/06/7465816996.jpg,check_whitebg,
63683,Neutrogena Hydro Boost Water Gel Lotion Sunscreen SPF 30 &#8211; 88ml,neutrogena-hydro-boost-water-gel-lotion-sunscreen-spf-30-88ml,Neutrogena Hydro Boost Water Gel Lotion Sunscreen SPF 30 - 88ml,1500.0,1000.0,1450.0,,set_sale ৳1000.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2022/06/2009858463-1.jpg,check_whitebg,
33863,Heimish Marine Care Deep Moisture Multi Face Oil 30ml,heimish-marine-care-deep-moisture-multi-face-oil-30ml,Heimish Marine Care Deep Moisture Multi Face Oil 30ml,2300.0,1700.0,1900,,set_sale ৳1700.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2022/01/HeimishMarineCareDeepMoistureMultiFaceOilNudieGlowAustralia_grande-removebg-preview.png,check_whitebg,
63437,Cerave Blemish Control Cleanser for Blemish Prone Skin 236ml,cerave-blemish-control-cleanser-for-blemish-prone-skin-236ml,Cerave Blemish Control Cleanser for Blemish Prone Skin 236ml,3700.0,2500.0,2500.0,,skip,https://skincarebd.com/wp-content/uploads/2023/03/Cerave-Blemish-Control-Cleanser_sku24380-1.jpg,check_whitebg,
55859,Neogen Dermalogy White Dual Cream 80ml,neogen-dermalogy-white-dual-cream-80ml,NEOGEN - Dermalogy White Dual Cream 80ml,2300.0,1400.0,2200,,set_sale ৳1400.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2021/05/White-Dual-Cream.jpg,check_whitebg,
63421,Benton Snail Bee High Content Skin Toner 150ml,benton-snail-bee-high-content-skin-toner-150ml,Benton Snail Bee High Content Skin Toner 150ml,1900.0,500.0,1700.0,,skip_suspicious (৳500.0 is 26% of reg ৳1900.0),https://skincarebd.com/wp-content/uploads/2023/03/8ea5cd1877564fb964f41483252d8317.jpg,check_whitebg,
63729,The Ordinary High Adherence Silicone Primer 30ml,the-ordinary-high-adherence-silicone-primer-30ml,The Ordinary High Adherence Silicone Primer 30ml,4000.0,900.0,900.0,,skip_suspicious (৳900.0 is 22% of reg ৳4000.0),https://skincarebd.com/wp-content/uploads/2022/06/The-Ordinary-High-Adherence-Silicone-Primer-30ml.jpg,check_whitebg,
63601,La Roche Posay Effaclar Purifying Cleansing Gel 400ml,la-roche-posay-effaclar-purifying-cleansing-gel-400ml,La Roche Posay Effaclar Purifying Cleansing Gel 400ml,4800.0,2500.0,2500.0,,skip,https://skincarebd.com/wp-content/uploads/2022/10/effaclar-facial-wash-for-oily-skin-3337872411991-1.webp,check_whitebg,
63743,The Ordinary Pycnogenol 5% 15ml,the-ordinary-pycnogenol-5-15ml,The Ordinary Pycnogenol 5% 15ml,2150.0,900.0,2150.0,,set_sale ৳900.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2022/06/The-Ordinary-Pycnogenol-5-15ml-1.jpg,check_whitebg,
63875,The Inkey List Vitamin C &#8211; 30ml,the-inkey-list-vitamin-c-30ml,The Inkey List Vitamin C - 30ml,2500.0,1700.0,1800.0,,set_sale ৳1700.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2022/01/download_1_af1c6727-6534-42eb-b377-54fc58c76bc8_800x.webp,check_whitebg,
63739,The Ordinary 100% Plant-Derived Squalane 30ml,the-ordinary-100-plant-derived-squalane-30ml,The Ordinary 100% Plant-Derived Squalane 30ml,1900.0,1100.0,1300.0,,set_sale ৳1100.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2022/06/The-Ordinary-100-Plant-Derived-Squalane-30ml-4.jpg,check_whitebg,
2693,COSRX AC Collection Ultimate Spot Cream 30g,cosrx-ac-collection-ultimate-spot-cream-30g,COSRX - AC Collection Ultimate Spot Cream 30g,1900.0,1300.0,1600,,set_sale ৳1300.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2020/12/COSRX-Ultimate_Spot_Cream.jpg,check_whitebg,
2857,Innisfree My Real Squeeze Mask - Rose 20ml,innisfree-my-real-squeeze-mask-rose-20ml,Innisfree My Real Squeeze Mask [Rose] 20ml,150.0,50.0,250,150.0,skip_placeholder (৳50.0 below ৳400 minimum),https://skincarebd.com/wp-content/uploads/2018/11/innisfree-its-real-squeeze-mask-sheet-rose.jpg,check_whitebg,
63613,Tiam Vita Refre C Toner 100ml,tiam-vita-refre-c-toner-100ml,Tiam Vita Refre C Toner 100ml,1900.0,500.0,1500.0,,skip_suspicious (৳500.0 is 26% of reg ৳1900.0),https://skincarebd.com/wp-content/uploads/2022/09/Tiam-Vita-Refre-C-Toner-100ml-750x750-1.jpg,check_whitebg,
63877,The Inkey List Glycolic Acid Toner &#8211; 100 ml,the-inkey-list-glycolic-acid-toner-100-ml,The Inkey List Glycolic Acid Toner - 100 ml,2300.0,1600.0,2200.0,,set_sale ৳1600.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2022/01/1629661894724-700x700-1.png,check_whitebg,
63807,Rated Green REAL Shea Cold Pressed Shea Butter Anti-Frizz Hydrating Hair Lotion 150ml,rated-green-real-shea-cold-pressed-shea-butter-anti-frizz-hydrating-hair-lotion-150ml,Rated Green REAL Shea Cold Pressed Shea Butter Anti-Frizz Hydrating Hair Lotion 150ml,1600.0,500.0,1500.0,,skip_suspicious (৳500.0 is 31% of reg ৳1600.0),https://skincarebd.com/wp-content/uploads/2022/02/nfe5N8PM.png,check_whitebg,
63813,Rated Green Real Shea Butter Nourishing Shampoo 400ml,rated-green-real-shea-butter-nourishing-shampoo-400ml,Rated Green Real Shea Butter Nourishing Shampoo 400ml,2100.0,500.0,2100.0,,skip_suspicious (৳500.0 is 24% of reg ৳2100.0),https://skincarebd.com/wp-content/uploads/2022/02/6ZPwLr3E.png,check_whitebg,
63587,Laneige Water Sleeping Mask 15ml + Lip Sleeping Mask Mini berry 3g,laneige-water-sleeping-mask-15ml-lip-sleeping-mask-mini-berry-3g,Laneige Water Sleeping Mask 15ml + Lip Sleeping Mask Mini berry 3g,6000.0,350.0,450.0,,skip_placeholder (৳350.0 below ৳400 minimum),https://skincarebd.com/wp-content/uploads/2022/10/311992510_6312881495393544_4918018708582620899_n-scaled.jpg,check_whitebg,
63425,CeraVe Sunscreen Stick Broad Spectrum SPF 50 (13.32gm),cerave-sunscreen-stick-broad-spectrum-spf-50-13-32gm,CeraVe Sunscreen Stick Broad Spectrum SPF 50 (13.32gm),1900.0,1500.0,1700.0,,set_sale ৳1500.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2023/03/CeraVe-Sunscreen-Stick-Broad-Spectrum-SPF-501_sku18508-1.jpg,check_whitebg,
63595,Lubriderm Daily Moisture Lotion for Normal to Dry Skin (Sensitive Skin) -473ml,lubriderm-daily-moisture-lotion-for-normal-to-dry-skin-sensitive-skin-473ml,Lubriderm Daily Moisture Lotion for Normal to Dry Skin (Sensitive Skin) -473ml,2100.0,1100.0,1900.0,,set_sale ৳1100.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2022/10/9e02f475604eaf2901a1f83871e57f95.jpg,check_whitebg,
63677,Neutrogena Age Shield Face Sunscreen 70 &#8211; 88ml,neutrogena-age-shield-face-sunscreen-70-88ml,Neutrogena Age Shield Face Sunscreen 70 - 88ml,2150.0,1300.0,1400.0,,set_sale ৳1300.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2022/06/9225975554.jpg,check_whitebg,
63725,The Ordinary Natural Moisturizing Factors + HA 100ml,the-ordinary-natural-moisturizing-factors-ha-100ml,The Ordinary Natural Moisturizing Factors + HA 100ml,2700.0,1550.0,1550.0,,skip,https://skincarebd.com/wp-content/uploads/2022/06/The-Ordinary-Natural-Moisturizing-Factors-HA-100ml.jpg,check_whitebg,
63863,iUNIK Beta-Glucan Daily Moisture Cream 60ml,iunik-beta-glucan-edition-skincare-set,Iunik Beta-Glucan Edition Skincare Set,1700.0,1445.0,1590,1290,skip,https://skincarebd.com/wp-content/uploads/2022/01/13ae59af25d2f.jpg,check_whitebg,
63799,Rated Green Cold Brew Rosemary Balancing Scalp Pack 200ml,rated-green-cold-brew-rosemary-balancing-scalp-pack-200ml,Rated Green Cold Brew Rosemary Balancing Scalp Pack 200ml,1900.0,500.0,1500.0,,skip_suspicious (৳500.0 is 26% of reg ৳1900.0),https://skincarebd.com/wp-content/uploads/2022/02/rosemary_scalp_pack_200ml_r1.jpg,check_whitebg,
63751,The Ordinary Amino Acid + B5 30ml,the-ordinary-amino-acid-b5-30ml,The Ordinary Amino Acid + B5 30ml,2800.0,1200.0,1200.0,,skip,https://skincarebd.com/wp-content/uploads/2022/06/The-Ordinary-Amino-Acids-B5-30ml.jpg,check_whitebg,
63397,TOCOBO VITA TONE UP SUN CREAM DELUXE SPF50+ PA++++ 10G,tocobo-vita-tone-up-sun-cream-deluxe-spf50-pa-10g,TOCOBO VITA TONE UP SUN CREAM DELUXE SPF50+ PA++++ 10G,1700.0,400.0,400.0,,skip_suspicious (৳400.0 is 24% of reg ৳1700.0),https://skincarebd.com/wp-content/uploads/2023/04/MINI-TOCOBO-Vita-Tone-Up-Sun-Cream-SPF-50-PA-.jpg,check_whitebg,
26872,Some By Mi Super Matcha Pore Tightening Toner 150ml,some-by-mi-super-matcha-pore-tightening-toner-150ml,SOME BY MI Super Matcha Pore Tightening Toner 150ml,1900.0,600.0,1600,,skip_suspicious (৳600.0 is 32% of reg ৳1900.0),https://skincarebd.com/wp-content/uploads/2020/11/SOME-BY-MI-Super-Matcha-Pore-Tightening-Toner.jpg,check_whitebg,
63723,The Ordinary Buffet + Copper Peptides 1% 30ml,the-ordinary-buffet-copper-peptides-1-30ml,The Ordinary Buffet + Copper Peptides 1% 30ml,4100.0,1500.0,4100.0,,skip_suspicious (৳1500.0 is 37% of reg ৳4100.0),https://skincarebd.com/wp-content/uploads/2022/06/The-Ordinary-Buffet-Copper-Peptides-1-30ml.jpg,check_whitebg,
63605,Dear Klairs Soft Airy UV Essence SPF 50 PA ++++ Sun 50g,dear-klairs-soft-airy-uv-essence-spf-50-pa-sun-50g,Dear Klairs Soft Airy UV Essence SPF 50 PA ++++ Sun 50g,1900.0,1200.0,1900.0,,set_sale ৳1200.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2022/10/1658142739323All-Day-Airy-Sunscreen-SPF5.jpg,check_whitebg,
63459,GLASS SKIN DUO (Innisfree Jelly Cream+Heimish Artless Glow Base),glass-skin-duo-innisfree-jelly-creamheimish-artless-glow-base,GLASS SKIN DUO (Innisfree Jelly Cream+Heimish Artless Glow Base),3700.0,500.0,3700.0,3000.0,skip_suspicious (৳500.0 is 14% of reg ৳3700.0),https://skincarebd.com/wp-content/uploads/2023/01/326935777_1247324946196618_7249357003196716158_n.jpg,check_whitebg,
63401,BENTON (DELUXE) Skin Fit Mineral Sun Cream 12ml,benton-deluxe-skin-fit-mineral-sun-cream-12ml,BENTON (DELUXE) Skin Fit Mineral Sun Cream 12ml,1700.0,400.0,400.0,,skip_suspicious (৳400.0 is 24% of reg ৳1700.0),https://skincarebd.com/wp-content/uploads/2023/04/BentonSM59-Ssunmi.png,check_whitebg,
63805,Rated Green Cold Brew Rosemary Balancing Scalp Pack 50ml,rated-green-cold-brew-rosemary-balancing-scalp-pack-50ml,Rated Green Cold Brew Rosemary Balancing Scalp Pack 50ml,1700.0,500.0,500.0,,skip_suspicious (৳500.0 is 29% of reg ৳1700.0),https://skincarebd.com/wp-content/uploads/2022/02/6RgsfRDE.png,check_whitebg,
63377,CeraVe Diabetics Dry Skin Relief Moisturizing Cream 236ml,cerave-diabetics-dry-skin-relief-moisturizing-cream-236ml,CeraVe Diabetics Dry Skin Relief Moisturizing Cream 236ml,2700.0,1700.0,2500.0,,set_sale ৳1700.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2023/05/CeraVe-Diabetics-Dry-Skin-Relief-Moisturizing-Cream1_sku18506-1.jpg,check_whitebg,
63597,"Lubriderm Daily Moisture Lotion for Normal to Dry Skin, Fragrance Free -473ml",lubriderm-daily-moisture-lotion-for-normal-to-dry-skin-fragrance-free-473ml,"Lubriderm Daily Moisture Lotion for Normal to Dry Skin, Fragrance Free -473ml",2100.0,1200.0,1900.0,,set_sale ৳1200.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2022/10/88e67d5084b3ef5c7e880ecc96985533.jpg,check_whitebg,
63715,The Ordinary Mineral UV Filters SPF 30 with Antioxidants 50ml,the-ordinary-mineral-uv-filters-spf-30-with-antioxidants-50ml,The Ordinary Mineral UV Filters SPF 30 with Antioxidants 50ml,2700.0,1100.0,1650.0,,set_sale ৳1100.0 (emart has no sale),https://skincarebd.com/wp-content/uploads/2022/06/The-Ordinary-Mineral-UV-Filters-SPF-30-with-Antioxidants-50ml.jpg,check_whitebg,
43923,Cosrx Pure Fit Cica Smoothing Cleansing Balm 120ml,cosrx-pure-fit-cica-smoothing-cleansing-balm-120ml,Cosrx Pure Fit Cica Smoothing Cleansing Balm 120ml,1700.0,350.0,1500,,skip_placeholder (৳350.0 below ৳400 minimum),https://skincarebd.com/wp-content/uploads/2023/02/Cosrx-Pure-Fit-Cica-Smoothing-Cleansing-Balm-120ml.jpg,check_whitebg,
63733,The Ordinary Lactic Acid 10% + HA 30ml,the-ordinary-lactic-acid-10-ha-30ml,The Ordinary Lactic Acid 10% + HA 30ml,2500.0,900.0,1500.0,,skip_suspicious (৳900.0 is 36% of reg ৳2500.0),https://skincarebd.com/wp-content/uploads/2022/06/The-Ordinary-Lactic-Acid-10-HA-30ml.jpg,check_whitebg,
