Name: Organic traffic to non-product pages
"Time period: Dec 4, 2025 - Jun 1, 2026"
URL,Clicks,Impressions,CTR,Purchases
e-mart.com.bd/product/ogx-nourishing-coconut-oil-hydrating-oil-mist-118ml/,7,55,0.12727273,0
e-mart.com.bd/product/paulas-choice-skin-perfecting-2-bha-liquid-exfoliant-30ml-2/,7,341,0.02052786,0
e-mart.com.bd/product/the-ordinary-vitamin-c-suspension-23-ha-spheres-2-30ml/,7,37,0.18918919,0
e-mart.com.bd/product/welcos-aloe-vera-moisture-real-soothing-gel/,7,85,0.08235294,0
e-mart.com.bd/product/aplb-glutathione-niacinamide-body-lotion-300ml/,6,20,0.3,0
e-mart.com.bd/product/cerave-acne-foaming-cream-cleanser/,6,934,0.00642398,0
e-mart.com.bd/product/cerave-moisturising-cream-50ml/,6,75,0.08,0
e-mart.com.bd/product/farm-stay-aloe-vera-moisture-soothing-gel/,6,114,0.05263158,0
e-mart.com.bd/product/garnier-fructis-pure-clean-aloe-extract-fortifying-conditioner-354ml/,6,217,0.02764977,0
e-mart.com.bd/product/gluta-c-intense-whitening-facial-night-repair-serum-15ml/,6,751,0.00798935,0
e-mart.com.bd/product/illiyoon-ceramide-ato-concentrate-cream-200ml/,6,1475,0.0040678,0
e-mart.com.bd/product/purito-aha-bha-refreshing-solution-100ml/,6,64,0.09375,0
e-mart.com.bd/product/simple-refreshing-facial-wash-150ml/,6,499,0.01202405,0
e-mart.com.bd/product/skin1004-centella-hyalu-cica-water-fit-sun-serum-50ml/,6,5222,0.00114899,0
e-mart.com.bd/shop/nivea-uv-super-water-gel-sunscreen-spf50-pa-140gm,6,647,0.00927357,0
www.e-mart.com.bd/,6,133,0.04511278,0
e-mart.com.bd/product-category/body-care-products/personal-wellness/,5,59,0.08474576,0
e-mart.com.bd/product-category/skin-care/,5,1675,0.00298507,0
e-mart.com.bd/product/axis-y-dark-spot-correcting-glow-serum-50ml/,5,2970,0.0016835,0
e-mart.com.bd/product/beauty-of-joseon-red-bean-water-gel-100ml-2/,5,373,0.01340483,0
e-mart.com.bd/product/buy-goodal-green-tangerine-vita-c-dark-spot-serum-40ml/,5,946,0.00528541,0
e-mart.com.bd/product/by-wishtrend-mandelic-acid-5-skin-prep-water-150ml/,5,112,0.04464286,0
e-mart.com.bd/product/cosrx-low-ph-niacinamide-micellar-cleansing-water-400ml/,5,587,0.00851789,0
e-mart.com.bd/product/kiwi-mr-muscle-drain-cleaner-50gm/,5,215,0.02325581,0
e-mart.com.bd/product/neutrogena-hydro-boost-water-gel-lotion-spf-50-88ml/,5,249,0.02008032,0
e-mart.com.bd/product/pantene-pro-v-volume-body-shampoo-500ml/,5,109,0.04587156,0
e-mart.com.bd/product/purito-seoul-mighty-bamboo-panthenol-cream-100ml/,5,168,0.0297619,0
e-mart.com.bd/product/the-inkey-list-salicylic-acid-cleanser-150ml-2/,5,182,0.02747253,0
e-mart.com.bd/product/tirtir-milk-skin-toner-light-150ml/,5,194,0.0257732,0
e-mart.com.bd/product/w7-16-color-nudification-eyeshadow-palette-12gm/,5,1112,0.0044964,0
e-mart.com.bd/contact,4,590,0.00677966,0
e-mart.com.bd/product-category/korean-beauty/,4,338,0.01183432,0
e-mart.com.bd/product-tag/daeng-gi-meo-ri/,4,26,0.15384615,0
e-mart.com.bd/product/aveeno-skin-relief-soothing-shampoo-300ml/,4,25,0.16,0
e-mart.com.bd/product/bioderma-photoderm-max-compact-light-tinted-spf-50/,4,115,0.03478261,0
e-mart.com.bd/product/by-wishtrend-polyphenols-in-propolis-15-ampoule-30ml/,4,31,0.12903226,0
e-mart.com.bd/product/cerave-hydrating-facial-cleanser-473ml/,4,128,0.03125,0
e-mart.com.bd/product/cosrx-balancium-comfort-ceramide-cream-mist-120m/,4,526,0.00760456,0
e-mart.com.bd/product/dr-althea-345na-relief-cream-50ml/,4,546,0.00732601,0
e-mart.com.bd/product/eucerin-original-healing-cream-454ge/,4,43,0.09302326,0
e-mart.com.bd/product/innisfree-green-tea-morning-cleanser-150ml/,4,54,0.07407407,0
e-mart.com.bd/product/jumiso-all-day-pure-c-5-5-serum-30ml/,4,630,0.00634921,0
e-mart.com.bd/product/klairs-midnight-blue-youth-activating-drop-20ml/,4,75,0.05333333,0
e-mart.com.bd/product/koelcia-lime-coke-cleansing-oil-200ml-2/,4,0,0,0
e-mart.com.bd/product/kwailnara-confume-argan-gold-moisture-body-lotion-500-gm/,4,77,0.05194805,0
e-mart.com.bd/product/m-a-c-satin-lipstick-retro/,4,86,0.04651163,0
e-mart.com.bd/product/marymay-tranexamic-acidglutathion-eye-cream-30ml/,4,818,0.00488998,0
e-mart.com.bd/product/maybelline-fit-me-dewysmooth-foundation-230-natural-buff/,4,102,0.03921569,0
e-mart.com.bd/product/maybelline-fit-me-dewysmooth-foundation-golden-beige-240/,4,404,0.00990099,0
e-mart.com.bd/product/maybelline-fit-me-dewysmooth-foundation-porcelain-110/,4,29,0.13793103,0
e-mart.com.bd/product/maybelline-fit-me-setsmooth-pressed-powder/,4,97,0.04123711,0
e-mart.com.bd/product/medicube-zero-pore-blackhead-mud-mask-100g/,4,86,0.04651163,0
e-mart.com.bd/product/mixsoon-bean-essence-50ml/,4,856,0.0046729,0
e-mart.com.bd/product/neogen-dermalogy-black-energy-cream/,4,340,0.01176471,0
e-mart.com.bd/product/nivea-body-firming-oil-body-tightening-oil-200ml/,4,92,0.04347826,0
e-mart.com.bd/product/nivea-men-fresh-face-body-hand-gel-75ml/,4,69,0.05797101,0
e-mart.com.bd/product/pyunkang-yul-ato-blue-label-cream-120ml/,4,65,0.06153846,0
e-mart.com.bd/product/round-lab-birch-juice-moisturizing-sun-cream-50ml/,4,208,0.01923077,0
e-mart.com.bd/product/rovectin-skin-essentials-conditioning-cleanser175-ml/,4,714,0.00560224,0
e-mart.com.bd/product/simple-water-boost-hydrating-gel-cream-50ml/,4,263,0.01520913,0
e-mart.com.bd/product/streax-professional-vitariche-gloss-hair-serum-115ml/,4,0,0,0
e-mart.com.bd/shipping-delivery/,4,381,0.01049869,0
e-mart.com.bd/shop/welcos-aloe-vera-moisture-real-soothing-gel,4,48,0.08333333,0
e-mart.com.bd/2023/04/02/balancing-skincare-routines-halal-ingredients-in-k-beauty-and-j-beauty-during-ramadan-a-guide-for-emart-blog-readers/,3,307,0.00977199,0
e-mart.com.bd/blog/%E0%A6%B8%E0%A6%BF%E0%A6%B0%E0%A6%BE%E0%A6%AE%E0%A6%BE%E0%A6%87%E0%A6%A1-%E0%A6%95%E0%A7%80-%E0%A6%B8%E0%A7%8D%E0%A6%95%E0%A6%BF%E0%A6%A8%E0%A6%95%E0%A7%87%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%B0,3,232,0.01293103,0
e-mart.com.bd/concerns,3,92,0.0326087,0
e-mart.com.bd/order-tracking/,3,97,0.03092784,0
e-mart.com.bd/product-category/skin-care/face-creams-moisturizers/,3,250,0.012,0
e-mart.com.bd/product-category/skin-care/sleeping-masks/,3,62,0.0483871,0
e-mart.com.bd/product-tag/mugwort/,3,34,0.08823529,0
e-mart.com.bd/product/3w-clinic-relaxing-body-lotion-camellia-550ml-2/,3,20,0.15,0
e-mart.com.bd/product/apieu-pure-block-natural-daily-sun-cream-spf45-pa/,3,90,0.03333333,0
e-mart.com.bd/product/astral-moisturising-cream-500ml/,3,85,0.03529412,0
e-mart.com.bd/product/beaute-melasma-x-glutathione-brightening-tone-up-cream-45ml/,3,38,0.07894737,0
e-mart.com.bd/product/benton-snail-bee-ultimate-eye-cream-30g/,3,44,0.06818182,0
e-mart.com.bd/product/bioderma-pigmentbio-sensitive-areas/,3,506,0.00592885,0
e-mart.com.bd/product/by-wishtrend-pure-vitamin-c-15-with-ferulic-acid-30ml/,3,21,0.14285714,0
e-mart.com.bd/product/cerave-facial-moisturising-lotion-pm-52ml/,3,279,0.01075269,0
e-mart.com.bd/product/cosrx-bha-blackhead-power-liquid-50ml/,3,336,0.00892857,0
e-mart.com.bd/product/cosrx-retinol-0-5-oil-20ml/,3,488,0.00614754,0
e-mart.com.bd/product/dabo-black-force-foam-cleanser-men-120ml/,3,149,0.02013423,0
e-mart.com.bd/product/daeng-gi-meo-ri-vitalizing-hair-serum-140ml-2/,3,25,0.12,0
e-mart.com.bd/product/dr-ceuracle-royal-vita-propolis-33-ampoule/,3,0,0,0
e-mart.com.bd/product/eucerin-sun-fluid-pigment-control-spf50-50ml/,3,101,0.02970297,0
e-mart.com.bd/product/garnier-fructis-triple-nutrition-conditioner-dry-to-very-dry-hair-354ml/,3,112,0.02678571,0
e-mart.com.bd/product/innisfree-brightening-pore-serum-15ml/,3,274,0.01094891,0
e-mart.com.bd/product/innisfree-brightening-pore-sleeping-mask-100-ml/,3,149,0.02013423,0
e-mart.com.bd/product/innisfree-green-tea-amino-hydrating-cleansing-foam-150ml/,3,996,0.00301205,0
e-mart.com.bd/product/innisfree-jeju-orchid-enriched-cream-50ml/,3,57,0.05263158,0
e-mart.com.bd/product/innisfree-the-green-tea-seed-cream-50ml/,3,792,0.00378788,0
e-mart.com.bd/product/kose-suncut-uv-perfect-gel-super-water-proof-spf-50-pa-100-ml/,3,376,0.00797872,0
e-mart.com.bd/product/laneige-water-bank-blue-hyaluronic-essential-kit-5-pcs/,3,61,0.04918033,0
e-mart.com.bd/product/loreal-extreme-fix-indestructible-fixing-paste-75ml/,3,25,0.12,0
e-mart.com.bd/product/loreal-paris-elnett-normal-strength-hairspray-200ml/,3,63,0.04761905,0
e-mart.com.bd/product/lucido-l-argan-rich-oil-hair-treatment-water-170g/,3,112,0.02678571,0
e-mart.com.bd/product/mamaearth-rosemary-hair-growth-oil-150ml/,3,41,0.07317073,0
e-mart.com.bd/product/maybelline-fit-me-concealer-20-sand-6-8ml/,3,38,0.07894737,0
e-mart.com.bd/product/maybelline-fit-me-matte-poreless-foundation-soft-tan-228/,3,0,0,0
e-mart.com.bd/product/mise-en-scene-perfect-hair-serum-70ml/,3,306,0.00980392,0
e-mart.com.bd/product/nacific-phyto-niacin-whitening-kit/,3,77,0.03896104,0
e-mart.com.bd/product/neogen-dermalogy-a-clear-soothing-pink-eraser-15ml/,3,53,0.05660377,0
e-mart.com.bd/product/neogen-dermalogy-real-vita-c-serum-32g/,3,58,0.05172414,0
e-mart.com.bd/product/neutrogena-oil-free-acne-wash-269ml/,3,92,0.0326087,0
e-mart.com.bd/product/neutrogena-oil-free-moisturiser-for-combination-skin-118ml-2/,3,1091,0.00274977,0
e-mart.com.bd/product/neutrogena-ultra-sheer-dry-touch-sunscreen-lotion-spf-55-147ml/,3,29,0.10344828,0
e-mart.com.bd/product/neutrogena-ultra-sheer-dry-touch-sunscreen-spf55/,3,71,0.04225352,0
e-mart.com.bd/product/nivea-for-men-creme-intensieve-50ml/,3,116,0.02586207,0
e-mart.com.bd/product/pozzy-baby-wipes-120-pcs/,3,449,0.00668151,0
e-mart.com.bd/product/purito-dermide-balancing-barrier-balm-60ml/,3,299,0.01003344,0
e-mart.com.bd/product/purito-plainet-squalane-oil-100-30ml/,3,173,0.01734104,0
e-mart.com.bd/product/rohto-mentholatum-hada-labo-gokujyun-premium-hydrating-milk-140ml/,3,337,0.00890208,0
e-mart.com.bd/product/simple-triple-protection-moisturiser-spf30-40ml/,3,207,0.01449275,0
e-mart.com.bd/product/simple-water-boost-micellar-cleansing-water-200ml/,3,903,0.00332226,0
e-mart.com.bd/product/simple-water-boost-skin-quench-sleeping-cream-50ml/,3,464,0.00646552,0
e-mart.com.bd/product/skin1004-madagascar-centella-hyalu-cica-blue-serum-30ml/,3,53,0.05660377,0
e-mart.com.bd/product/skinfood-fresh-fruit-lip-cheek-1-orange/,3,23,0.13043478,0
e-mart.com.bd/product/skino-anti-dandruff-treatment-shampoo-220ml/,3,0,0,0
e-mart.com.bd/product/some-by-mi-cica-peptide-anti-hair-loss-derma-scalp-shampoo-285ml/,3,41,0.07317073,0
e-mart.com.bd/product/some-by-mi-v10-hyal-lip-sun-protector-7ml/,3,118,0.02542373,0
e-mart.com.bd/product/superdrug-naturally-radiant-renewing-night-cream-75ml/,3,0,0,0
e-mart.com.bd/product/thank-you-farmer-sun-project-light-sun-essence-spf50-pa-40ml-2/,3,63,0.04761905,0
e-mart.com.bd/product/the-body-shop-lightening-shade-adjusting-drops-15ml/,3,0,0,0
e-mart.com.bd/product/the-face-shop-herb-day-365-master-blending-foaming-cleanser-peach-fig-170ml-2/,3,92,0.0326087,0
e-mart.com.bd/shop/cerave-acne-foaming-cream-cleanser,3,567,0.00529101,0
e-mart.com.bd/shop/cerave-skin-renewing-night-cream-48g,3,1575,0.00190476,0
e-mart.com.bd/shop/cosrx-salicylic-acid-daily-gentle-cleanser-150ml,3,637,0.00470958,0
e-mart.com.bd/shop/jnh-sseng-eol-whipping-cleansing-foam-150ml,3,308,0.00974026,0
e-mart.com.bd/2021/01/08/%E0%A6%9C%E0%A7%87%E0%A6%A8%E0%A7%87-%E0%A6%A8%E0%A6%BF%E0%A6%A8-%E0%A6%A8%E0%A6%95%E0%A6%B2-%E0%A6%95%E0%A6%B8%E0%A6%AE%E0%A7%87%E0%A6%9F%E0%A6%BF%E0%A6%95%E0%A6%B8-%E0%A6%9A%E0%A7%87%E0%A6%A8/,2,645,0.00310078,0
e-mart.com.bd/2021/02/20/%E0%A6%A4%E0%A7%8D%E0%A6%AC%E0%A6%95%E0%A6%9A%E0%A6%B0%E0%A7%8D%E0%A6%9A%E0%A6%BE%E0%A7%9F-%E0%A6%95%E0%A7%87%E0%A6%BE%E0%A6%B0%E0%A6%BF%E0%A7%9F%E0%A6%BE%E0%A6%A8-%E0%A6%AC%E0%A6%BF%E0%A6%89%E0%A6%9F/,2,204,0.00980392,0
e-mart.com.bd/blog/%E0%A6%9C%E0%A7%87%E0%A6%A8%E0%A7%87-%E0%A6%A8%E0%A6%BF%E0%A6%A8-%E0%A6%A8%E0%A6%95%E0%A6%B2-%E0%A6%95%E0%A6%B8%E0%A6%AE%E0%A7%87%E0%A6%9F%E0%A6%BF%E0%A6%95%E0%A6%B8-%E0%A6%9A%E0%A7%87%E0%A6%A8,2,0,0,0
e-mart.com.bd/brands/romnd,2,97,0.02061856,0
e-mart.com.bd/category/makeup-cosmetics,2,57,0.03508772,0
e-mart.com.bd/ingredients/aha,2,33,0.06060606,0
e-mart.com.bd/offers/coupon,2,29,0.06896552,0
e-mart.com.bd/product-category/babies-moms/,2,257,0.0077821,0
e-mart.com.bd/product-category/beauty-toiletries/,2,698,0.00286533,0
e-mart.com.bd/product-category/body-care-products/body-lotions/,2,561,0.00356506,0
e-mart.com.bd/product-category/lip-care/,2,162,0.01234568,0
e-mart.com.bd/product-category/makeup-cosmetics/setting-spray/,2,79,0.02531646,0
e-mart.com.bd/product-category/on-sale/,2,301,0.00664452,0
e-mart.com.bd/product-category/skin-care/shooting-gel/,2,196,0.01020408,0
e-mart.com.bd/product/acwell-licorice-ph-balancing-cleansing-toner/,2,32,0.0625,0
e-mart.com.bd/product/anua-heartleaf-pore-control-cleansing-oil-200ml-mild/,2,1064,0.0018797,0
e-mart.com.bd/product/aromatica-rosemary-scalp-scaling-shampoo-400ml/,2,123,0.01626016,0
e-mart.com.bd/product/astral-intensive-face-body-moisturiser-cream-50ml/,2,0,0,0
e-mart.com.bd/product/avene-trixera-nutrition-nutri-fluid-lotion-200ml-2/,2,53,0.03773585,0
e-mart.com.bd/product/banila-co-clean-it-zero-original-cleansing-balm-25ml/,2,80,0.025,0
e-mart.com.bd/product/beauty-of-joseon-green-plum-refreshing-cleanser-100ml/,2,145,0.0137931,0
e-mart.com.bd/product/beauty-of-joseon-sunscreen-rice-probiotics-spf-50-10ml/,2,0,0,0
e-mart.com.bd/product/bioderma-atoderm-preventive/,2,0,0,0
e-mart.com.bd/product/bioderma-photoderm-ar-tinted-cream-spf50-30ml/,2,0,0,0
e-mart.com.bd/product/bioderma-photoderm-spot-age-spf50-40ml/,2,0,0,0
e-mart.com.bd/product/bioderma-sebium-gel-moussant-cleansing-foaming-gel-200ml/,2,32,0.0625,0
e-mart.com.bd/product/bioderma-sensibio-ar-cream-40ml/,2,58,0.03448276,0
e-mart.com.bd/product/botanics-all-bright-hydrating-night-cream-50ml/,2,102,0.01960784,0
e-mart.com.bd/product/buy-the-niacinamide-15-serum/,2,242,0.00826446,0
e-mart.com.bd/product/carenel-derma-alpha-arbutin-gluthathoine-whiteing-cream/,2,508,0.00393701,0
e-mart.com.bd/product/cerave-repairing-hand-cream-50ml/,2,65,0.03076923,0
e-mart.com.bd/product/christian-dean-secret-tone-up-sun-cream-spf-50-pa/,2,38,0.05263158,0
e-mart.com.bd/product/clinique-dramatically-different-moisturizing-lotion/,2,0,0,0
e-mart.com.bd/product/confume-argan-damage-hair-treatment-200-gm/,2,45,0.04444444,0
e-mart.com.bd/product/confume-argan-hair-shampoo-750-ml/,2,184,0.01086957,0
e-mart.com.bd/product/coreana-orthia-gold-ginseng-premium-snail-cream/,2,30,0.06666667,0
e-mart.com.bd/product/cos-de-baha-vitamin-c-15-serum-va-30ml/,2,28,0.07142857,0
e-mart.com.bd/product/cosrx-ac-collection-acne-patch-26-patches/,2,866,0.00230947,0
e-mart.com.bd/product/cosrx-advanced-snail-mucin-96-power-essence-30ml/,2,173,0.01156069,0
e-mart.com.bd/product/cosrx-hydrium-watery-toner-150ml/,2,21,0.0952381,0
e-mart.com.bd/product/cosrx-low-ph-good-morning-gel-cleanser-50ml/,2,57,0.03508772,0
e-mart.com.bd/product/cosrx-salicylic-acid-daily-gentle-cleanser-50ml/,2,3981,0.00050239,0
e-mart.com.bd/product/cosrx-the-retinol-0-1-cream/,2,108,0.01851852,0
e-mart.com.bd/product/cosrx-ultra-light-invisible-sunscreen-spf50-pa-50ml/,2,91,0.02197802,0
e-mart.com.bd/product/dongsung-melanin-care-rannce-cream-10-g/,2,22,0.09090909,0
e-mart.com.bd/product/dr-althea-147-barrier-cream-15ml/,2,28,0.07142857,0
e-mart.com.bd/product/etude-soon-jung-ph-5-5-relief-toner-200ml/,2,0,0,0
e-mart.com.bd/product/eucerin-dry-skin-replenishing-cream-with-5-urea-75ml/,2,0,0,0
e-mart.com.bd/product/freeman-facial-green-tea-orange-blossom-peel-off-gel-mask/,2,0,0,0
e-mart.com.bd/product/garnier-papaya-hair-food-3-in-1-hair-treatment-mask-400ml/,2,0,0,0
e-mart.com.bd/product/gluta-c-underarm-and-bikini-skin-whitening-gel-alcohol-free-20ml-2/,2,374,0.00534759,0
e-mart.com.bd/product/gold-my-jin-korea-red-ginseng-foam-cleansing-130ml/,2,154,0.01298701,0
e-mart.com.bd/product/harada-shizuoka-matcha-powder-100g/,2,107,0.01869159,0
e-mart.com.bd/product/illiyoon-ceramide-ato-concentrate-cream-30ml/,2,120,0.01666667,0
e-mart.com.bd/product/im-from-mugwort-mask-110g/,2,73,0.02739726,0
e-mart.com.bd/product/im-from-rice-cream-50g/,2,2257,0.00088613,0
e-mart.com.bd/product/innisfree-intensive-long-lasting-sunscreen-spf50-pa-2/,2,508,0.00393701,0
e-mart.com.bd/product/innisfree-volcanic-pore-bha-cleansing-foam-150m/,2,572,0.0034965,0
e-mart.com.bd/product/innsaei-low-ph-daily-gel-cleanser-5-5-150ml/,2,0,0,0
e-mart.com.bd/product/insight-pro-concealer-palette/,2,26,0.07692308,0
e-mart.com.bd/product/isntree-hyaluronic-acid-moist-cream-100ml-3-38-fl-oz/,2,1245,0.00160643,0
e-mart.com.bd/product/kerasys-scalp-cooling-clinic-shampoo-750ml-2/,2,114,0.01754386,0
e-mart.com.bd/product/klairs-supple-preparation-unscented-toner-180ml/,2,86,0.02325581,0
e-mart.com.bd/product/koelcia-foam-cleanser-green-tea-120gm-2/,2,0,0,0
e-mart.com.bd/product/lador-hair-loss-treatment-scalp-scaling-clinic-spa-15ml/,2,96,0.02083333,0
e-mart.com.bd/product/loreal-infallible-pro-matte-100-porcelain/,2,50,0.04,0
e-mart.com.bd/product/loreal-paris-age-perfect-rehydrating-day-cream-50ml/,2,21,0.0952381,0
e-mart.com.bd/product/loreal-paris-men-expert-anti-irritation-shave-gel-200ml/,2,0,0,0
e-mart.com.bd/product/makeup-revolution-15-color-reloaded-eyeshadow-palette-velvet-rose/,2,0,0,0
e-mart.com.bd/product/mamy-poko-pants-xxxl-7-pcs-18-35kg-in/,2,41,0.04878049,0
e-mart.com.bd/product/mary-may-niacinamide-chaenomeles-sinensis-serum-30ml/,2,33,0.06060606,0
e-mart.com.bd/product/maybelline-fit-me-concealer-25-medium-6-8ml/,2,21,0.0952381,0
e-mart.com.bd/product/maybelline-fit-me-dewysmooth-foundation/,2,59,0.03389831,0
e-mart.com.bd/product/maybelline-fit-me-matte-poreless-foundation-warm-nude-128/,2,31,0.06451613,0
e-mart.com.bd/product/maybelline-fit-me-setsmooth-pressed-powder-8-5gm/,2,219,0.00913242,0
e-mart.com.bd/product/maybelline-fit-me-setsmooth-pressed-powder-golden-beige-240/,2,0,0,0
e-mart.com.bd/product/maybelline-instant-age-rewind-eraser-dark-circles-treatment-concealer-100-ivory/,2,57,0.03508772,0
e-mart.com.bd/product/medi-peel-melanon-x-cream-30ml/,2,47,0.04255319,0
e-mart.com.bd/product/minimalist-vitamin-c-10-face-serum-30ml/,2,0,0,0
e-mart.com.bd/product/missha-time-revolution-the-first-treatment-essence-rx-4th-gen/,2,0,0,0
e-mart.com.bd/product/nair-moisturising-hair-removal-cream-80ml/,2,0,0,0
e-mart.com.bd/product/nature-beauty-saffron-soothing-gel-130ml/,2,0,0,0
e-mart.com.bd/product/neocare-small-baby-diaper-50-pcs-pack/,2,1069,0.00187091,0
e-mart.com.bd/product/neogen-dermalogy-day-light-protection-sun-screen-spf-50-pa-50ml/,2,840,0.00238095,0
e-mart.com.bd/product/neotrogena-men-skin-clearing-acne-wash/,2,32,0.0625,0
e-mart.com.bd/product/neutrogena-body-oil-original-scent/,2,69,0.02898551,0
e-mart.com.bd/product/neutrogena-hydro-boost-water-gel/,2,128,0.015625,0
e-mart.com.bd/product/neutrogena-oil-balancing-facial-wash-200ml/,2,0,0,0
e-mart.com.bd/product/neutrogena-oil-free-acne-wash-pink-grapefruit-cream-cleanser/,2,0,0,0
e-mart.com.bd/product/neutrogena-oil-free-moisture-spf15/,2,58,0.03448276,0
e-mart.com.bd/product/neutrogena-t-gel-therapeutic-shampoo/,2,0,0,0
e-mart.com.bd/product/neutrogena-ultra-sheer-dry-touch-sunscreen-spf-55-88ml/,2,0,0,0
e-mart.com.bd/product/nivea-men-deo-roll-on-deep-50ml/,2,89,0.02247191,0
e-mart.com.bd/product/nivea-men-sensitive-shower-gel-250ml/,2,0,0,0
e-mart.com.bd/product/nivea-micellair-water-200ml/,2,165,0.01212121,0
e-mart.com.bd/product/nivea-soft-cream-moisturizer-200ml/,2,62,0.03225806,0
e-mart.com.bd/product/purito-centella-unscented-recovery-cream-50ml/,2,353,0.00566572,0
e-mart.com.bd/product/romnd-juicy-lasting-tint-25-bare-grape/,2,0,0,0
e-mart.com.bd/product/rovectin-clean-lotus-water-cream-60ml/,2,43,0.04651163,0
e-mart.com.bd/product/rovectin-skin-essentials-cica-care-clearing-ampoule-30ml/,2,51,0.03921569,0
e-mart.com.bd/product/ryo-hair-loss-care-shampoo-for-oily-scalp-400ml/,2,46,0.04347826,0
e-mart.com.bd/product/savlon-wet-wipes-20-pcs/,2,134,0.01492537,0
e-mart.com.bd/product/sebamed-after-shave-balsam-100ml/,2,25,0.08,0
